entity,coupled,degree,average-revs
btree/bt_cache.c,btree/c_init.c,100,81
src/mongo/db/repl/repl_coordinator_external_state_mock.cpp,src/mongo/db/repl/repl_coordinator_external_state_mock.h,100,29
src/mongo/s/catalog/sharding_catalog_client_mock.cpp,src/mongo/s/catalog/sharding_catalog_client_mock.h,100,24
src/mongo/s/catalog/dist_lock_manager_mock.cpp,src/mongo/s/catalog/dist_lock_manager_mock.h,100,20
src/mongo/db/repl/data_replicator_external_state_mock.cpp,src/mongo/db/repl/data_replicator_external_state_mock.h,100,20
src/mongo/s/cluster_constants.cpp,src/mongo/s/cluster_constants.h,100,20
src/mongo/s/query/cluster_client_cursor_mock.cpp,src/mongo/s/query/cluster_client_cursor_mock.h,100,16
jstests/concurrency/fsm_all.js,jstests/concurrency/fsm_all_composed.js,100,14
src/mongo/db/op_observer_impl.h,src/mongo/db/op_observer_noop.h,100,13
src/mongo/client/remote_command_targeter_rs.h,src/mongo/client/remote_command_targeter_standalone.h,100,13
src/mongo/db/pipeline/document_source_change_notification.cpp,src/mongo/db/pipeline/document_source_change_notification_test.cpp,100,13
debian/mongofiles.1,debian/mongorestore.1,100,12
debian/mongoexport.1,debian/mongorestore.1,100,12
debian/mongodump.1,debian/mongoexport.1,100,12
debian/mongodump.1,debian/mongorestore.1,100,12
debian/mongoexport.1,debian/mongofiles.1,100,12
debian/mongodump.1,debian/mongofiles.1,100,12
jstests/replsets/initial_sync_update_missing_doc1.js,jstests/replsets/initial_sync_update_missing_doc2.js,100,11
src/mongo/s/write_ops/batched_delete_request.h,src/mongo/s/write_ops/batched_update_request.h,100,11
src/mongo/db/repl/topology_coordinator_mock.cpp,src/mongo/db/repl/topology_coordinator_mock.h,100,11
src/mongo/db/storage/storage_engine_metadata.h,src/mongo/db/storage/storage_engine_metadata_test.cpp,100,11
src/third_party/wiredtiger/src/include/stat.h,src/third_party/wiredtiger/src/support/stat.c,100,10
buildscripts/resmokeconfig/suites/core_small_oplog_rs_initsync.yml,buildscripts/resmokeconfig/suites/core_small_oplog_rs_resync.yml,100,10
debian/mongoperf.1,debian/mongotop.1,100,9
src/third_party/wiredtiger/dist/api_data.py,src/third_party/wiredtiger/src/config/config_def.c,100,9
jstests/multiVersion/replset_primary_updater1.js,jstests/multiVersion/replset_primary_updater6.js,100,8
src/mongo/tools/mongofiles_options_test.cpp,src/mongo/tools/mongostat_options_test.cpp,100,8
jstests/multiVersion/replset_primary_updater3.js,jstests/multiVersion/replset_primary_updater6.js,100,8
jstests/multiVersion/replset_primary_updater3.js,jstests/multiVersion/replset_primary_updater5.js,100,8
jstests/multiVersion/replset_primary_updater3.js,jstests/multiVersion/replset_primary_updater4.js,100,8
jstests/gle/core/remove5.js,jstests/gle/core/update4.js,100,8
jstests/multiVersion/replset_primary_updater1.js,jstests/multiVersion/replset_primary_updater5.js,100,8
jstests/multiVersion/replset_primary_updater1.js,jstests/multiVersion/replset_primary_updater3.js,100,8
jstests/multiVersion/replset_primary_updater2.js,jstests/multiVersion/replset_primary_updater3.js,100,8
jstests/multiVersion/replset_primary_updater2.js,jstests/multiVersion/replset_primary_updater5.js,100,8
src/mongo/tools/mongostat_options_test.cpp,src/mongo/tools/mongotop_options_test.cpp,100,8
jstests/multiVersion/replset_primary_updater2.js,jstests/multiVersion/replset_primary_updater6.js,100,8
jstests/multiVersion/replset_primary_updater5.js,jstests/multiVersion/replset_primary_updater6.js,100,8
src/mongo/db/pipeline/parsed_add_fields.h,src/mongo/db/pipeline/parsed_inclusion_projection.h,100,8
src/mongo/tools/mongofiles_options_test.cpp,src/mongo/tools/mongotop_options_test.cpp,100,8
src/mongo/bson/bson_depth.cpp,src/mongo/bson/bson_depth.h,100,8
jstests/concurrency/fsm_all_sharded_causal_consistency.js,jstests/concurrency/fsm_all_sharded_causal_consistency_and_balancer.js,100,8
src/mongo/db/repl/heartbeat_response_action.cpp,src/mongo/db/repl/heartbeat_response_action.h,100,8
jstests/multiVersion/replset_primary_updater2.js,jstests/multiVersion/replset_primary_updater4.js,100,8
db/Field.cpp,db/Field.h,100,8
src/mongo/db/auth/principal.cpp,src/mongo/db/auth/principal.h,100,8
jstests/multiVersion/replset_primary_updater4.js,jstests/multiVersion/replset_primary_updater5.js,100,8
jstests/multiVersion/replset_primary_updater4.js,jstests/multiVersion/replset_primary_updater6.js,100,8
jstests/multiVersion/replset_primary_updater1.js,jstests/multiVersion/replset_primary_updater2.js,100,8
src/mongo/db/views/view_graph.cpp,src/mongo/db/views/view_graph.h,100,8
jstests/multiVersion/replset_primary_updater1.js,jstests/multiVersion/replset_primary_updater4.js,100,8
jstests/core/profile_count.js,jstests/core/profile_distinct.js,100,7
src/mongo/tools/mongoimport_options_test.cpp,src/mongo/tools/mongorestore_options_test.cpp,100,7
src/mongo/executor/async_timer_mock.cpp,src/mongo/executor/async_timer_mock.h,100,7
jstests/sharding/movechunk_with_moveParanoia.js,jstests/sharding/movechunk_with_noMoveParanoia.js,100,7
jstests/core/index_partial4.js,jstests/core/index_partial_exists.js,100,7
src/mongo/tools/mongoimport_options_test.cpp,src/mongo/tools/mongooplog_options_test.cpp,100,7
jstests/core/profile_distinct.js,jstests/core/profile_group.js,100,7
src/mongo/db/logical_session_cache_impl.h,src/mongo/db/logical_session_cache_noop.h,100,7
